record_id,pdf_page_start,pdf_page_end,row_type,book,chapter_start,verse_start,chapter_end,verse_end,verse_reference,assignment_source,section,chapter,text
44,7,7,paragraph,,,,,,,unassigned,,,"Niels-Erik A. Andreasen, President, Andrews"
45,7,7,paragraph,,,,,,,unassigned,,,"University Lisa M. Beardsley-Hardy, Director, Department of"
46,7,7,paragraph,,,,,,,unassigned,,,"Education, General Conference of Seventh-day"
47,7,7,paragraph,,,,,,,unassigned,,,"Adventists Shawn Boonstra, Director, Voice of Prophecy"
48,7,7,paragraph,,,,,,,unassigned,,,"Ministry Mark Finley, Assistant to the President,"
49,7,7,paragraph,,,,,,,unassigned,,,"General Conference of Seventh-day Adventists Denis Fortin, Dean, Seventh-day Adventist"
50,7,7,paragraph,,,,,,,unassigned,,,"Theological Seminary, Andrews University Erno Gyeresi, Associate Director, Andrews"
51,7,7,paragraph,,,,,,,unassigned,,,"University Press Willie E. Hucks II, Associate Editor,"
52,7,7,paragraph,,,,,,,unassigned,,,"Ministry, General Conference of Seventh-day"
53,7,7,paragraph,,,,,,,unassigned,,,"Adventists Greg A. King, Dean of the School of Reli-"
54,7,7,paragraph,,,,,,,unassigned,,,"gion, Southern Adventist University Gerald A. Klingbeil, Associate Editor,"
55,7,7,paragraph,,,,,,,unassigned,,,"Adventist Review/Adventist World,"
56,7,7,paragraph,,,,,,,unassigned,,,"General Conference of Seventh-day Adventists Bill Knott, Editor, Adventist Review/Adventist"
57,7,7,paragraph,,,,,,,unassigned,,,"World, General Conference of Seventh-day"
58,7,7,paragraph,,,,,,,unassigned,,,"Adventists Ronald A. Knott, Director, Andrews University"
59,7,7,paragraph,,,,,,,unassigned,,,Press COMMITTEE
60,7,7,paragraph,,,,,,,unassigned,,,"Board, production and publication of the"
61,7,7,paragraph,,,,,,,unassigned,,,"an oversight Project Committee that met in professional responsibilities they held at the work. This committee supervised the devel for funding, selected the General Editor, and"
62,7,7,paragraph,,,,,,,unassigned,,,"John K. McVay, President, Walla Walla"
63,7,7,paragraph,,,,,,,unassigned,,,"University Jerry N. Page, Secretary, Ministerial"
64,7,7,paragraph,,,,,,,unassigned,,,"Association, General Conference of"
65,7,7,paragraph,,,,,,,unassigned,,,"Seventh-day Adventists Juan R. Prestol, Treasurer, General Conference"
66,7,7,paragraph,,,,,,,unassigned,,,"of Seventh-day Adventists Angel Manuel Rodriguez, Former Director,"
67,7,7,paragraph,,,,,,,unassigned,,,"Biblical Research Institute Benjamin D. Schoun, General Vice President,"
68,7,7,paragraph,,,,,,,unassigned,,,"General Conference of Seventh-day Adventists Ella Smith Simmons, General Vice President,"
69,7,7,paragraph,,,,,,,unassigned,,,General Conference of Seventh-day
70,7,7,paragraph,,,,,,,unassigned,,,"Adventists Artur A. Stele, General Vice President,"
71,7,7,paragraph,,,,,,,unassigned,,,General Conference of Seventh-day
72,7,7,paragraph,,,,,,,unassigned,,,"Adventists Alberto R. Timm, Associate Director, Ellen G."
73,7,7,paragraph,,,,,,,unassigned,,,"White Estate Ted N. C. Wilson, President, General"
74,7,7,paragraph,,,,,,,unassigned,,,"Conference of Seventh-day Adventists E. Edward Zinke, Treasurer, Adventist"
75,7,8,paragraph,,,,,,,unassigned,,,"Theological Society Aecio E. Cairus, PhD 1 Chronicles, 2 Chronicles Professor of Systematic Theology Adventist International Institute of"
76,8,8,paragraph,,,,,,,unassigned,,,Advanced Studies
77,8,8,paragraph,,,,,,,unassigned,,,"Felix Cortez, PhD 1 Timothy Associate Professor of New Testament Andrews University"
78,8,8,paragraph,,,,,,,unassigned,,,"Carl P. Cosaert, PhD 1 Corinthians, Galatians Intertestamental Period and New Testament"
79,8,8,paragraph,,,,,,,unassigned,,,Timeline Professor of Biblical Studies: Greek and
80,8,8,paragraph,,,,,,,unassigned,,,New Testament Walla Walla University
81,8,8,paragraph,,,,,,,unassigned,,,"Jo Ann Davidson, PhD Ruth Professor of Systematic Theology Andrews University"
82,8,8,paragraph,,,,,,,unassigned,,,"Richard M. Davidson, PhD Song of Songs, Hosea Introduction to the Pentateuch J. N. Andrews Professor of Old Testament"
83,8,8,paragraph,,,,,,,unassigned,,,Interpretation Andrews University
84,8,8,paragraph,,,,,,,unassigned,,,"HyunsokJohn Doh, PhD 1 Corinthians Professor of New Testament Studies Southern Adventist University"
85,8,8,paragraph,,,,,,,unassigned,,,"Jacques B. Doukhan, ThD Ecclesiastes Professor Emeritus of Hebrew and Old"
86,8,8,paragraph,,,,,,,unassigned,,,Testament Exegesis Andrews University
87,8,8,paragraph,,,,,,,unassigned,,,"Denis Fortin, PhD 2 Timothy Professor of Historical Theology Andrews University Mathilde Frey, PhD Deuteronomy Associate Professor of Theology Walla Walla University"
88,8,8,paragraph,,,,,,,unassigned,,,"Erhard Gallos, PhD James, Jude Assistant Professor of Religion Andrews University"
89,8,8,paragraph,,,,,,,unassigned,,,"Constance E. C. Gane, PhD Nahum Associate Professor of Archaeology and"
90,8,8,paragraph,,,,,,,unassigned,,,Old Testament Andrews University
91,8,8,paragraph,,,,,,,unassigned,,,"L. James Gibson, PhD Faith and Science Director Geoscience Research Institute"
92,8,8,paragraph,,,,,,,unassigned,,,"Michael G. Hasel, PhD Exodus Professor of Near Eastern Studies and"
93,8,8,paragraph,,,,,,,unassigned,,,Archaeology Southern Adventist University
94,8,8,paragraph,,,,,,,unassigned,,,"William G. Johnsson, PhD Hebrews Former Editor Adventist Review/Adventist World"
95,8,8,paragraph,,,,,,,unassigned,,,"Gerald A. Klingbeil, DLitt Genesis, Ezra, Nehemiah Introduction to the Old Testament Historical"
96,8,8,paragraph,,,,,,,unassigned,,,Books Research Professor of Old Testament and
97,8,8,paragraph,,,,,,,unassigned,,,Ancient Near Eastern Studies Andrews University
98,8,8,paragraph,,,,,,,unassigned,,,"Martin G. Klingbeil, DLitt Psalms Introduction to Hebrew Poetry and"
99,8,9,paragraph,,,,,,,unassigned,,,"Wisdom Books Professor of Biblical Studies and Archaeology Southern Adventist University Donn Walter Leatherman, PhD Zechariah Professor Emeritus of Religion Southern Adventist University"
100,9,9,paragraph,,,,,,,unassigned,,,"Richard P. Lehmann, PhD Acts Professor Emeritus of Theology Adventist University of France"
101,9,9,paragraph,,,,,,,unassigned,,,"Tarsee Li, PhD Proverbs Professor of Religion Oakwood University"
102,9,9,paragraph,,,,,,,unassigned,,,"Robert K. Mciver, PhD Matthew Senior Lecturer in Biblical Studies Avondale School of Higher Education"
103,9,9,paragraph,,,,,,,unassigned,,,"John K. McVay, PhD Colossians Introduction to the Gospels and Acts Professor of Theology and President Walla Walla University"
104,9,9,paragraph,,,,,,,unassigned,,,"Richard W. Medina, PhD Candidate Amos Director, Public Campus Ministries Israel Field"
105,9,9,paragraph,,,,,,,unassigned,,,"Jifi Moskala, ThD, PhD Habakkuk Professor of Old Testament Exegesis and"
106,9,9,paragraph,,,,,,,unassigned,,,Theology Andrews University
107,9,9,paragraph,,,,,,,unassigned,,,"Ekkehardt Mueller, ThD, DMin 1 John, 2 John, 3 John Associate Director Biblical Research Institute"
108,9,9,paragraph,,,,,,,unassigned,,,"Ruben Munoz-Larrondo, PhD 1 Corinthians Associate Professor of Biblical Studies Andrews University Paluku Mwendambio, PhD Numbers Rector Adventist University of Goma"
109,9,9,paragraph,,,,,,,unassigned,,,"Daegeuk Nam, PhD Zephaniah Professor and President Emeritus Sahmyook University"
110,9,9,paragraph,,,,,,,unassigned,,,"Gudmundur Olafsson, PhD Lamentations Professor Emeritus of Old Testament and"
111,9,9,paragraph,,,,,,,unassigned,,,Biblical Languages Newbold College of Higher Education
112,9,9,paragraph,,,,,,,unassigned,,,"Kim Papaioannou, PhD 1 Peter Pastor, nans-European Division of"
113,9,9,paragraph,,,,,,,unassigned,,,Seventh-day Adventists
114,9,9,paragraph,,,,,,,unassigned,,,"Wilson Paroschi, PhD John Professor of Religion Southern Adventist University"
115,9,9,paragraph,,,,,,,unassigned,,,"Roberto Pereyra, PhD Philippians Professor Emeritus of New Testament Studies Universidad Adventista del Plata"
116,9,9,paragraph,,,,,,,unassigned,,,"Paul B. Petersen, PhD Malachi Professor of Religion Andrews University"
117,9,9,paragraph,,,,,,,unassigned,,,"Gerhard Pfandl, PhD Judges, Daniel Interpreting Biblical Apocalyptic Prophecies Biblical Research Institute"
118,9,10,paragraph,,,,,,,unassigned,,,"Martin Probstle, PhD Micah Professor of Old Testament Seminar Schloss Bogenhofen Teresa L. Reeve, PhD 2 Peter Associate Professor of New Testament Contexts Andrews University"
119,10,10,paragraph,,,,,,,unassigned,,,"Angel Manuel Rodriguez, ThD Leviticus, Judges, Daniel Hope and the Advent of God Revelation and Inspiration of the Bible Formation of the Biblical Canon Biblical Interpretation Interpreting Biblical Apocalyptic Prophedes Former Director Part-time Associate Director Biblical Research Institute"
120,10,10,paragraph,,,,,,,unassigned,,,"Richard Sabuin, PhD Ephesians Director of Education Northern Asia-Pacific Division"
121,10,10,paragraph,,,,,,,unassigned,,,"Thomas R. Shepherd, PhD Mark Professor of New Testament Andrews University"
122,10,10,paragraph,,,,,,,unassigned,,,"Jerome L. Skinner, PhD Ezekiel Introduction to the Prophetic Books Assistant Professor of Exegesis and Theology Andrews University"
123,10,10,paragraph,,,,,,,unassigned,,,"Michael Sokupa, PhD, DTh Titus Associate Director The Ellen G. White Estate"
124,10,10,paragraph,,,,,,,unassigned,,,"Elias Brasil de Souza, PhD Joel Director Biblical Research Institute"
125,10,10,paragraph,,,,,,,unassigned,,,"Ranko Stefanovic, PhD 2 Thessalonians, Revelation Professor of New Testament Andrews University Zdravko Stefanovic, PhD 1 Samuel, 2 Samuel Professor of Religion AdventHealth University"
126,10,10,paragraph,,,,,,,unassigned,,,"David Tasker, PhD 1 Kings, 2 Kings Senior Lecturer Avondale University College"
127,10,10,paragraph,,,,,,,unassigned,,,"Laurence A. Turner, PhD Jonah Professor Emeritus of Theological Studies Newbold College of Higher Education"
128,10,10,paragraph,,,,,,,unassigned,,,"Efrain Velazquez, PhD Haggai Professor of ANE Archaeology/Hebrew"
129,10,10,paragraph,,,,,,,unassigned,,,"Bible and President Inter-American Adventist Theological Seminary Cedric Vine, PhD 1 Thessalonians Associate Professor of New Testament Andrews University"
130,10,10,paragraph,,,,,,,unassigned,,,"Clinton Wahlen, PhD Luke Associate Director Biblical Research Institute"
131,10,10,paragraph,,,,,,,unassigned,,,"A. Rahel Wells, PhD Esther Associate Professor of Biblical Studies Andrews University"
132,10,11,paragraph,,,,,,,unassigned,,,"Bertil Wiklander, ThD Isaiah, Jeremiah Former President, Trans-European Division Executive Publisher Andrea luxton, President, Andrews University, and"
133,11,11,paragraph,,,,,,,unassigned,,,"Chair, Scholarly Publications and Andrews University"
134,11,11,paragraph,,,,,,,unassigned,,,Press Board
135,11,11,paragraph,,,,,,,unassigned,,,"Project Director Ronald A. Knott, Director, Andrews University Press"
136,11,11,paragraph,,,,,,,unassigned,,,"Managing Editor L. S. Baker Jr., Associate Director, Andrews University Press"
137,11,11,paragraph,,,,,,,unassigned,,,"Editorial Director Deborah L. Everhart, Editor, Andrews University Press"
138,11,11,paragraph,,,,,,,unassigned,,,"Editorial Assistance Timothy Arena (Theology, Biblical languages)"
139,11,11,paragraph,,,,,,,unassigned,,,Editorial Assistance Nathon Hilton (General) Yusuflmam
140,11,11,paragraph,,,,,,,unassigned,,,Jasmine logan
141,11,11,paragraph,,,,,,,unassigned,,,Kenneth logan
142,11,11,paragraph,,,,,,,unassigned,,,Uriel Garcia Millan
143,11,11,paragraph,,,,,,,unassigned,,,Samuel Pagan
144,11,11,paragraph,,,,,,,unassigned,,,Keldie Paroschi
145,11,11,paragraph,,,,,,,unassigned,,,Dwaine Vaughn
146,11,11,paragraph,,,,,,,unassigned,,,Kevin Wiley
147,11,11,paragraph,,,,,,,unassigned,,,Copyediting and Proofreading Rodelinde Abrecht
148,11,11,paragraph,,,,,,,unassigned,,,Charissa Boyd
149,11,11,paragraph,,,,,,,unassigned,,,Rose Decaen
150,11,11,paragraph,,,,,,,unassigned,,,Samantha Mero
151,11,11,paragraph,,,,,,,unassigned,,,Jonathan Stefanovic
152,11,11,paragraph,,,,,,,unassigned,,,lois G. StUck
153,11,11,paragraph,,,,,,,unassigned,,,Debra West Smith
154,11,11,paragraph,,,,,,,unassigned,,,Interior Design Diane Myers
155,11,11,paragraph,,,,,,,unassigned,,,Typesetting Daniel Gordan
156,11,11,paragraph,,,,,,,unassigned,,,Cover Design Types & Symbols
157,12,12,paragraph,,,,,,,unassigned,,,"ESSAYS, TABLES, AND CHARTS"
158,12,12,paragraph,,,,,,,unassigned,,,Genesis Days of Creation ......................................................................1 40 Scripture and Science .................................................................1 42 God's Name: The Tetragrammaton .....................................................1 44 Living Soul or Living Being? ...........................................................1 45 Minkhah in the Old Testament .........................................................1 48 The Biblical Flood Story and Extrabiblical Flood Stories ................................. 151 The Tower of Babel in Comparative Perspective ........................................1 55 Common Imagery Associated with Lot's and Eve's Choices. .............................1 59 The New Testament and the Aqedah ................................................... 167 Joseph in Egypt .......................................................................1 83 The Sons of Jacob and His Final Blessing ...............................................1 93
159,12,12,paragraph,,,,,,,unassigned,,,"Exodus The Ten Plagues and the Religion of Egypt .............................................2 06 The Number of Israelites Who Left Egypt ...............................................2 10 The Four-Hundred-Thirty-Year Sojourn .................................................2 11 The Route of the Exodus and Mount Sinai. .................................. '"" ........2 12 Crossing the Sea ......................................................................2 14 The Miracle ofthe Manna .............................................................2 15 Sanctuary, Covenant, Worship, and Forgiveness ........................................2 26 The Current Location of the Ark of the Covenant .......................................2 27 Creation, Sabbath, and the Sanctuary ..................................................2 31 The SanctuaryfTemple and Ancient Near Eastern Parallels ..............................2 33"
160,12,13,paragraph,,,,,,,unassigned,,,"Leviticus The Laying On of Hands ...............................................................2 43 Clean and Unclean Animals ...........................................................2 57 The Theology of the Day of Atonement ................................................2 64 Health and Hygiene in Leviticus .......................................................2 72 Numbers A Woman Suspected of Adultery ......................................................2 89 God's Use of a Flawed Prophet ........................................................ .304 The Status of Women in the Book of Numbers. ..................... , .................. .307"
161,13,13,paragraph,,,,,,,unassigned,,,Deuteronomy The Decalogue in Deuteronomy and Exodus .......................................... .322 The Sabbath Commandment in Deuteronomy ........................................ .323 The Extermination of the Canaanites ................................................. .330
162,13,13,paragraph,,,,,,,unassigned,,,Joshua Habiru ............................................................................... .36S Rest ................................................................................. .368 Holy Warfare ......................................................................... .372 Chronology in Joshua 10 ............................................................. .379
163,13,13,paragraph,,,,,,,unassigned,,,Judges Chariots ..............................................................................3 94 The Angel of the Lord ................................................................ .395 Eglon's Coalition Against God's People .................................................3 99 Israel's Oppressors During the Time of Gideon ........................................ .402 The Philistines ........................................................................4 07 Jephthah's Vow ...................................................................... .408
164,13,13,paragraph,,,,,,,unassigned,,,Ruth Ephah ............................................................................... .422 Threshing Grain .......................................................................4 23
165,13,13,paragraph,,,,,,,unassigned,,,"1 Samuel Saul, the Medium, and the Spirit of Samuel ............................................4 49"
166,13,14,paragraph,,,,,,,unassigned,,,1 Kings High Place-Bamah . .................................................................. 479 Phoenicia ............................................................................ .482 Judah's Idolatry ...................................................................... .491 Baal Worship ......................................................................... .493 Divine Judgment .................................................................... .497 1 Chronicles The Genealogies of 1 Chronicles 1-9. ..................................................5 27 Satan and David ......................................................................5 36 The Temple in Chronicles ............................................................. .541
167,14,14,paragraph,,,,,,,unassigned,,,2 Chronicles Abijah in Kings and Chronicles ........................................................5 55
168,14,14,paragraph,,,,,,,unassigned,,,Ezra Ezra and the Cyrus Cylinder. .......................................................... .576 The Decree of Artaxerxes I as Fulfillment of Daniel 9:25 .................................5 84
169,14,14,paragraph,,,,,,,unassigned,,,Nehemiah Nehemiah and the Pentateuch ........................................................5 92 Nehemiah 9:25 and the Conquest of Canaan ...........................................5 99 Covenant Renewal and Tithing ........................................................6 02
170,14,14,paragraph,,,,,,,unassigned,,,Job The Vision/Dream of Eliphaz ...........................................................6 30 The Redeemer ........................................................................6 38 Behemoth ............................................................................6 52 Leviathan .............................................................................6 54
171,14,14,paragraph,,,,,,,unassigned,,,Psalms Metaphors of God in the Psalms .......................................................6 61 Anthropomorphic Descriptions of God in the Psalms ...................................6 63 Acrostic Psalms .......................................................................6 69 The Great Reward of Psalm 19:11 ......................................................6 76 Imprecatory Passages in the Psalms .................................................. .733 Pilgrim Psalms ....................................................................... .743
172,14,15,paragraph,,,,,,,unassigned,,,Proverbs Wisdom and the Fear of the Lord ..................................................... .764 Proverbs 8:22 and Christ ...............................................................7 73 Child Discipline in Proverbs ........................................................... .776 ExcelientThings or Thirty Sayings? ................................................... .782 The Organization of Proverbs in the Septuagint ....................................... .785 Ecclesiastes Prologue and Creation Story Parallels ................................................. .796
173,15,15,paragraph,,,,,,,unassigned,,,Isaiah The Remnant .........................................................................8 43 The Servant of the Lord in Isaiah .......................................................8 85 The New Heavens and Earth and the Presence of Death ................................8 98
174,15,15,paragraph,,,,,,,unassigned,,,Jeremiah The Two Editions of Jeremiah ..........................................................9 02 Covenant .............................................................................9 05 Yahweh Tseba'ot . ...................................................................... 912 The Wrath of God .....................................................................9 18 Shiloh ................................................................................9 20 Tophet(h) .............................................................................9 22 Content of Jeremiah Chapters 50 and 51 ...............................................9 57
175,15,15,paragraph,,,,,,,unassigned,,,Ezekiel God's Judgment in the Prophets .......................................................9 81 Judgment in Ezekiel and Revelation ...................................................9 86 The Mark/Sign/Seal of God ............................................................9 88 God and Bad Laws (Ezekiel 20:25) ......................................................9 99 Evil and the Fallen Cherub ........................................................... 1008
176,15,16,paragraph,,,,,,,unassigned,,,"Daniel The Union of Church and State ...................................................... 1033 The Little Horn in Daniel 7 ........................................................... 1035 The 1,260 DayslYears ................................................................ 1037 The Little Horn and Antiochus IV .................................................... 1039 The Work of the Little Horn and the Prince ........................................... 1040 The Cleansing ofthe Sanctuary and Judgment in Daniel ............................. 1043 70 Weeks/490 Years ................................................................. 1048 2,300 Years Prophecy (Daniel 8 and 9) ................................................ 1049 The Great Controversy in Daniel 8-12 ................................................ 1053 Different Historicist Views on Rome and the Papacy in Daniel 11 :5-39 ................ 1056 Hosea Covenant Lawsuit in Hosea .......................................................... 1066"
177,16,16,paragraph,,,,,,,unassigned,,,Joel Outpouring of the Spirit ............................................................. 1084
178,16,16,paragraph,,,,,,,unassigned,,,Jonah Nineveh ............................................................................ 1103 The Sign of Jonah ................................................................... 1105
179,16,16,paragraph,,,,,,,unassigned,,,Habakkuk Habakkuk 2:4 and the New Testament ............................................... 1125
180,16,16,paragraph,,,,,,,unassigned,,,Haggai The Desire of All Nations ............................................................ 1136
181,17,17,paragraph,,,,,,,unassigned,,,ABBREVIATIONS
182,17,18,paragraph,,,,,,,unassigned,,,"General ABC-NT Andrews Bible Commentary (New Testament) ABC-OT Andrews Bible Commentary (Old Testament) A.D. anna Domini (in the year of the Lord) ANE ancient Near East(ern) approx. approximately Arab. Arabic Aram. Aramaic B.C. before Christ Bg. the Heb. OT published by Daniel Bamberg (1524-1525) ca. circa, about, approximately cf. confer, compare chap./chaps. chapter/chapters cm centimeters DH Deuteronomic History DSS Dead Sea Scrolls E east e.g. exempli gratia, for example esp. especially ESV English Standard Version of the Bible etc. et cetera, and so forth ff. and following ft. foot/feet g gram/grams gal. gallon/gallons Gr. Greek Heb. Hebrew Le. id est, that is in. inch/inches kg kilogram/kilograms KJV King James Version of the Bible km kilometer/kilometers Kt. kethib, the written Heb. aT preserved by the Masoretes (see below)"
